name,course_title,mode,price,no of votes,Rating,lectures,Hours,level,instructor_name,url
udacity,front end web developer,paid,"77,769","2,004",4.2,254,80,intermediate,rachel manning,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011
udacity,full stack wev developer,paid,"77,769","1,012",4.4,260,74,intermediate,amy hua,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044
udacity,learn kotlin,paid,"77,769","1,005",4.4,240,45.5,intermediate,dan galpin,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940
udacity,become an ios developer,paid,"77,769","12,904",4.6,456,58,intermediate,jarrod parkes,https://www.udacity.com/course/ios-developer-nanodegree--nd003
udacity,ai programming with python,paid,"58,257",678,4.6,476,120,intermediate,ortal arel,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089
udacity,artifical intelligence for trading,paid,"116,514",789,4.6,567,111.5,advanced,cindy lin,https://www.udacity.com/course/ai-for-trading--nd880
udacity,become a data scientist,paid,"77,676","1,218",4.7,345,88.5,intermediate,josh bernhard,https://www.udacity.com/course/data-scientist-nanodegree--nd025
udacity,data science with aws,paid,"77,676","1,808",4.6,456,78.5,intermediate,amanda moran,https://www.udacity.com/course/data-engineer-nanodegree--nd027
udacity,data structure and algorithms,paid,"77,767",850,4.7,293,34,intermediate,abe feinberg,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256
udacity,Deep Learning,paid,"77,767","3,370",4.7,366,155,advanced,Erick Galinkin,https://www.udacity.com/course/deep-learning-nanodegree--nd101
udacity,UX Designer,paid,"77,767","1,033",4.7,128,110,intermediate,Shuang Liu,https://www.udacity.com//course/ux-designer-nanodegree--nd578
udacity,SQL,paid,"77,767",342,4.6,85,166,intermediate,Malavica Sridhar,https://www.udacity.com//course/learn-sql--nd072
udacity,Machine Learning DevOps Engineer,paid,"77,767","1,233",None,171,178,intermediate,Joshua Bernhard,https://www.udacity.com//course/machine-learning-dev-ops-engineer-nanodegree--nd0821
udacity,React,paid,"77,767","1,450",4.6,258,68,advanced,Andrew Wong,https://www.udacity.com//course/react-nanodegree--nd019
udacity,AI for Healthcare,paid,"77,767","1,899",4.6,257,100,intermediate,Nikhil Bikhchandani,https://www.udacity.com//course/ai-for-healthcare-nanodegree--nd320
udacity,Data Product Manager,paid,"77,767","1,544",4.4,192,117,intermediate,JJ Miclat,https://www.udacity.com//course/data-product-manager-nanodegree--nd030
udacity,Java Programming,paid,"77,767",925,None,192,78,advanced,Jeff Phillips,https://www.udacity.com//course/java-programming-nanodegree--nd079
udacity,Android Kotlin Developer,paid,"77,767",886,4.7,260,187,advanced,Dan Galpin,https://www.udacity.com//course/android-kotlin-developer-nanodegree--nd940
coursera,web design for everybody,not paid ,0,"24,117",4.8,254,42,beginner,collen vant len,https://www.coursera.org/specializations/web-design
